BRM_BILLER_ACCOUNT_T_ACCOUNT_NO,BRM_BILLINFO_T_ACTG_CYCLE_DOM,TOTAL_AMOUNT,THRESHOLD,WEIGHTED_THRESHOLD,BILLSHOCK,PROXIMITY
100067692,11,26.9516,29.51,78.6933333333,No,0.342488986784
100085730,13,99.6,129.92,311.808,No,0.319427339901
100098133,15,28.34,58.55,124.906666667,No,0.22688941076
100099930,18,31.9757835,21.91,37.9773333333,No,0.841970214689
100108341,5,15.5167,49.5,171.6,No,0.0904236596737
100112187,23,56.75,80.98,86.3786666667,No,0.656990923685
100114101,9,32.6475327,53.31,156.376,No,0.208775852433
100137846,12,215.3460991,332.19,841.548,No,0.255892829761
100142434,20,28.3333,42.91,62.9346666667,No,0.450201796572
100145620,9,39.4975,47.56,139.509333333,No,0.283117258582
100156827,5,40.422499,59.05,204.706666667,No,0.197465474174
100170734,15,17.2,20.99,44.7786666667,No,0.384111481658
100180350,20,50.0,89.68,131.530666667,No,0.380139485849
100191455,21,37.1717,107.88,143.84,No,0.25842394327
100201889,13,41.02732505,55.49,133.176,No,0.308068458656
100227549,5,27.5167,34.56,119.808,No,0.22967331063
100241774,15,42.1833,59.04,125.952,No,0.334915682165
100279756,6,65.8501,90.61,302.033333333,No,0.218022624434
100289178,12,25.32,48.5,122.866666667,No,0.206077048291
100290262,6,12.5,18.57,61.9,No,0.201938610662
100310905,5,57.6528167,51.8,179.573333333,No,0.321054444053
100364374,13,55.483434,119.1,285.84,No,0.194106612091
100367559,15,24.6667,29.6,63.1466666667,No,0.390625527872
100384549,9,7.9167,10.5,30.8,No,0.257035714286
100389511,13,42.08,122.7,294.48,No,0.142895952187
100415821,4,27.5167,43.02,154.872,No,0.177673820962
100417765,6,11.5667,14.3,47.6666666667,No,0.242658041958
100434766,4,60.12904665,63.87,229.932,No,0.261507953003
100448944,13,14.6416332,13.1,31.44,No,0.465700801527
100451234,12,14.875,17.85,45.22,No,0.328947368421
100465401,13,25.908367,64.61,155.064,No,0.167081766238
100498104,13,57.3528333,91.93,220.632,No,0.259947937289
100502554,13,7.9167,9.95,23.88,No,0.331520100503
100510316,13,20.12166,22.35,53.64,No,0.375124161074
100515139,7,33.075,38.74,123.968,No,0.266802723283
100526949,12,28.3807999,39.3,99.56,No,0.285062273001
100530638,13,31.4404664,38.61,92.664,No,0.339295372529
100543031,9,26.5617,22.79,66.8506666667,No,0.397328872312
100545726,13,35.0,54.65,131.16,No,0.266849649283
100557173,10,45.3276,155.08,434.224,No,0.104387597185
100559211,5,75.191734,125.82,436.176,No,0.172388517479
100570090,5,13.3334,16.0,55.4666666667,No,0.240385817308
100583857-3,13,36.8133668,0.0,0.0,Yes,1.0
100585611,12,20.0,24.0,60.8,No,0.328947368421
100591608,16,56.3674,84.48,168.96,No,0.333613873106
100596874,13,15.03935,17.78,42.672,No,0.352440710536
100611794,6,52.9667,67.61,225.366666667,No,0.235024552581
100626519-2,19,51.0758666,50.78,81.248,No,0.628641524714
100631447,8,93.7496996,155.15,475.793333333,No,0.197038699435
100633121,9,11.9834,14.38,42.1813333333,No,0.284092489569
100654604,10,175.6384169,196.18,549.304,No,0.319747201732
100667803,4,33.36333,53.93,194.148,No,0.171844829718
100669929-3,4,38.4667,49.26,177.336,No,0.216914219335
100686873,25,24.21834,119.29,95.432,No,0.253775882304
100695625,16,38.9182,84.72,169.44,No,0.22968720491
100727760,10,19.575,33.53,93.884,No,0.208501981168
100747004,8,170.3578336,178.77,548.228,No,0.310742672027
100772232,6,128.2001,181.58,605.266666667,No,0.211807632999
100777191,9,7.92,10.05,29.48,No,0.268656716418
100795615,5,91.000899,169.45,587.426666667,No,0.154914484077
100802002,6,39.5139672,23.1,77.0,No,0.513168405195
100809292,4,27.5442167,27.13,97.668,No,0.2820188465
100818964,4,14.21251,12.45,44.82,No,0.317101963409
100831483,4,12.9167,12.04,43.344,No,0.298004337394
100836137,6,164.8899,203.59,678.633333333,No,0.242973476104
100840155,6,22.0867,49.03,163.433333333,No,0.135141953906
100847538,14,45.54,50.63,114.761333333,No,0.396823552648
100861569,10,14.22668,10.52,29.456,No,0.482980717002
100869396,20,39.6167,21.2,31.0933333333,Yes,1.0
100871583,10,14.17,17.0,47.6,No,0.29768907563
100877216,4,27.5167,35.12,126.432,No,0.217640312579
100883361,14,14.18417,27.3,61.88,No,0.229220588235
100900874,13,109.804575,194.61,467.064,No,0.235095350958
100918749,5,41.2833,49.54,171.738666667,No,0.240384421291
100919295,13,15.0975,12.6,30.24,No,0.499255952381
100934932,11,24.0833,55.45,147.866666667,No,0.162871731289
100956734,6,126.5666333,153.5,511.666666667,No,0.247361498306
100959602,5,25.8,46.96,162.794666667,No,0.158481850347
100967964,13,18.3834,24.53,58.872,No,0.31226049735
100980676,6,37.84665,76.77,255.9,No,0.147896248535
100998881,9,35.2583,50.82,149.072,No,0.236518595041
101026026,4,57.6167,159.73,575.028,No,0.100198077311
101029143,9,81.783333,104.98,307.941333333,No,0.265580888784
101034162,10,42.575,63.9,178.92,No,0.237955510843
101036608,12,48.4224666,59.29,150.201333333,No,0.322383733389
124018079,5,8.75,10.5,36.4,No,0.240384615385
124038824,9,28.3780167,59.1,173.36,No,0.163694143401
124048268,4,20.6829834,0.0,0.0,Yes,1.0
124076535,15,20.8333,21.96,46.848,No,0.444699880464
124081441,10,14.113,32.27,90.356,No,0.156193279915
124086479,10,19.9583,25.49,71.372,No,0.279637673037
124107997,24,16.808367,51.14,47.7306666667,No,0.352150266775
124118934,10,9.3666,11.24,31.472,No,0.297616929334
124127344,5,78.5007835,96.39,334.152,No,0.234925373782
124129040,6,60.25,85.82,286.066666667,No,0.210615241203
124159411,17,26.420934,28.89,53.928,No,0.489929795283
124189144,4,40.53,91.27,328.572,No,0.123351959388
124238097,10,10.8548,15.0,42.0,No,0.258447619048
124239189,13,70.04624995,87.84,210.816,No,0.332262494071
124240046,5,24.11942495,31.83,110.344,No,0.218583927989
124240648,6,112.74334,55.48,184.933333333,No,0.609643150685
124243130,5,16.3417,101.06,350.341333333,No,0.0466450813683
124261176,21,16.6667,20.0,26.6666666667,No,0.62500125
124295187,5,22.22,44.0,152.533333333,No,0.145673076923
124299749,5,15.5607165,41.79,144.872,No,0.107410103402
124313828,4,65.9621698,64.68,232.848,No,0.283284244657
124365488,11,19.559367,73.62,196.32,No,0.0996300275061
124382536,6,143.961667,46.02,153.4,No,0.938472405476
124399159,12,10.6667,58.18,147.389333333,No,0.0723709087948
124412680,9,16.5453,36.26,106.362666667,No,0.155555520734
124417210,6,27.5442167,37.71,125.7,No,0.219126624503
124505773,20,12.7349,36.65,53.7533333333,No,0.236913679772
124508152,25,19.2050334,42.26,33.808,No,0.56806180194
124510576,25,53.3175,0.0,0.0,Yes,1.0
124510985,20,59.5379501,60.95,89.3933333333,No,0.666022262287
124513911,24,162.1290668,229.62,214.312,No,0.756509513233
124514445,23,29.2417,87.03,92.832,No,0.314995906584
124514945,20,24.12893745,99.21,145.508,No,0.165825504096
124519199,20,12.9516,14.35,21.0466666667,No,0.615375356351
124520034,21,41.5312503,42.48,56.64,No,0.733249475636
124520078,24,21.6667,28.55,26.6466666667,No,0.813111083312
124520487,23,22.9133,71.87,76.6613333333,No,0.298889922777
124523708-1,24,14.1667,0.0,0.0,Yes,1.0
124523844,23,37.177867,62.29,66.4426666667,No,0.559548086571
124527360,13,78.533334,115.35,276.84,No,0.283677698309
124527882,23,14.1667,18.15,19.36,No,0.731751033058
124528805,24,31.71575815,58.08,54.208,No,0.585075231516
124531184,12,84.1,27.5,69.6666666667,Yes,1.0
124532209,20,19.5,31.25,45.8333333333,No,0.425454545455
124532298,6,144.309082,149.16,497.2,No,0.290243527755
124532878,24,18.36666,85.63,79.9213333333,No,0.229809229075
124534303,3,41.1191331,131.05,489.253333333,No,0.0840446662261
124534870,24,40.91166,61.4,57.3066666667,No,0.713907515123
124535746,20,81.4055664,200.3,293.773333333,No,0.277103321382
124545442,25,10.4167,17.5,14.0,No,0.74405
124546498,20,61.0,197.6,289.813333333,No,0.210480309165
124549480,23,94.77,295.54,315.242666667,No,0.300625549841
